Segment,Threshold_1_Length,Threshold_10_Length,Threshold_100_Length,Split_10_Length,Split_100_Length,Split_1000_Length,Handle_Lengths,Quadrangle_Length,Handle_Area,Quadrangle_Area,,% Difference between Threshold_1 and Handle_Lengths
400_1000__1200_2000,1783.413276,1783.374386,1780.401126,1772.817653,1745.354429,1779.575488,1880.624847,3161.249695,400000,1200000,,0.948308898
1800_2000__2600_1000,1783.413276,1783.374386,1780.401126,1772.817653,1765.724034,1781.616876,1880.624847,3161.249695,400000,1200000,,0.948308898
800_1600__1200_2000,1785.04274,1785.021669,1783.325789,1779.840224,1746.973839,1781.204488,1913.08038,2478.765804,460000,620000,,0.933072525
1800_2000__2200_1600,1785.04274,1785.021669,1783.325789,1779.840224,1766.131483,1783.146107,1913.08038,2478.765804,460000,620000,,0.933072525
0_1600__1800_1200,1785.36333,1785.259924,1781.614066,1774.800644,1776.393454,1784.510754,1449.033091,3292.941983,320000,1040000,,0.811618042
1200_1200__3000_1600,1785.36333,1785.259924,1781.614066,1774.800644,1751.145611,1781.873272,1449.033091,3292.941983,320000,1040000,,0.811618042
600_1800__2200_1600,1785.702112,1785.683796,1782.722409,1773.381292,1766.883999,1783.806634,1526.882723,3139.334273,220000,540000,,0.855060154
800_1600__2400_1800,1785.702112,1785.683796,1782.722409,1773.381292,1759.278187,1783.02324,1526.882723,3139.334273,220000,540000,,0.855060154
600_1400__1200_2000,1786.12628,1786.102855,1783.954552,1779.2259,1748.049271,1782.287982,1846.310272,2694.83841,480000,840000,,0.9674031
1800_2000__2400_1400,1786.12628,1786.102855,1783.954552,1779.2259,1769.255403,1784.430375,1846.310272,2694.83841,480000,840000,,0.9674031
0_1400__1800_1400,1787.383484,1787.329584,1783.344304,1775.647801,1773.734895,1786.040352,1524.246557,3324.246557,240000,240000,,0.852780934
1200_1400__3000_1400,1787.383484,1787.329584,1783.344304,1775.647801,1755.773934,1784.160214,1524.246557,3324.246557,240000,240000,,0.852780934
600_1600__2200_1800,1788.427448,1788.408608,1786.05076,1775.849878,1763.980185,1785.956824,1545.73138,3158.18293,200000,520000,,0.864296386
800_1800__2400_1600,1788.427448,1788.408608,1786.05076,1775.849878,1767.095836,1786.267463,1545.73138,3158.18293,200000,520000,,0.864296386
200_1600__2400_1400,1788.5293,1788.444278,1782.131494,1769.136532,1771.948324,1786.836676,1565.685425,3774.757628,320000,760000,,0.875403844
600_1400__2800_1600,1788.5293,1788.444278,1782.131494,1769.136532,1759.193344,1785.536437,1565.685425,3774.757628,320000,760000,,0.875403844
200_1600__1400_1400,1788.935987,1788.896415,1781.830936,1781.279704,1767.112881,1786.771295,1721.110255,2937.662761,360000,600000,,0.962085993
1600_1400__2800_1600,1788.935987,1788.896415,1781.830936,1781.279704,1759.481775,1785.942026,1721.110255,2937.662761,360000,600000,,0.962085993
400_1200__2600_1800,1789.115687,1789.037445,1782.558678,1769.04656,1759.743968,1786.122973,1632.455532,3912.806382,300000,1620000,,0.912437102
400_1800__2600_1200,1789.115687,1789.037445,1782.558678,1769.04656,1770.688401,1787.224795,1632.455532,3912.806382,300000,1620000,,0.912437102
0_1000__2400_1600,1789.466682,1789.210744,1764.095244,1766.130569,1768.367761,1787.311503,1721.110255,4194.97363,120000,1560000,,0.961800671
600_1600__3000_1000,1789.466682,1789.210744,1764.095244,1766.130569,1760.259642,1786.477383,1721.110255,4194.97363,120000,1560000,,0.961800671
400_2000__1200_1000,1790.971304,1790.824802,1779.55214,1784.336679,1766.895033,1788.572513,1966.190379,3246.815226,300000,1100000,,0.910883973
1800_1000__2600_2000,1790.971304,1790.824802,1779.55214,1784.336679,1756.637011,1787.481245,1966.190379,3246.815226,300000,1100000,,0.910883973
200_1000__2800_1600,1793.904648,1793.578125,1785.463405,1765.820815,1764.683805,1790.916777,1800,4468.332813,240000,1800000,,0.996613693
200_1600__2800_1000,1793.904648,1793.578125,1785.463405,1765.820815,1770.672617,1791.516658,1800,4468.332813,240000,1800000,,0.996613693
200_2000__1800_1000,1794.143446,1794.090669,1790.545437,1783.867424,1787.621713,1793.538987,1480.624847,3367.421074,400000,2000000,,0.825254441
1200_1000__2800_2000,1794.143446,1794.090669,1790.545437,1783.867424,1756.53916,1790.310494,1480.624847,3367.421074,400000,2000000,,0.825254441
200_1400__1400_1600,1794.679538,1794.640508,1791.959443,1786.052628,1769.18056,1792.134029,1742.955328,2959.507834,340000,580000,,0.971179139
1600_1600__2800_1400,1794.679538,1794.640508,1791.959443,1786.052628,1768.322026,1792.001539,1742.955328,2959.507834,340000,580000,,0.971179139
400_1400__1200_1800,1795.337822,1795.307828,1793.007448,1787.985991,1761.577299,1791.945847,1852.481105,2746.908296,440000,760000,,0.969153109
1800_1800__2600_1400,1795.337822,1795.307828,1793.007448,1787.985991,1773.979071,1793.177577,1852.481105,2746.908296,440000,760000,,0.969153109
